A_sec,A_trab,fc,L1,L2,Pisos,Cm,Cv,vigas_sec_bf,vigas_sec_tf,vigas_sec_h,vigas_sec_tw,vigas_trab_bf,vigas_trab_tf,vigas_trab_h,vigas_trab_tw,col_b,col_h,col_e,ep4e_tp,ep4e_bp,ep4e_g,ep4e_pf,ep4e_perno,Resultados_Mpr_iz,Resultados_Mpr_der,Resultados_Sh_iz,Resultados_Sh_der,Resultados_Vu_iz,Resultados_Vu_der,Resultados_Mf_iz,Resultados_Mf_der,Resultados_Esfv_iz,Resultados_Esfv_der,Resultados_Efst_iz,Resultados_Efst_der,Resultados_Estreal_iz,Resultados_Estreal_der,Resultados_tp_min_iz,Resultados_tp_min_der,Refuerzo Adicional_Zp_iz,Refuerzo Adicional_Zp_der,Refuerzo Adicional_g_iz,Refuerzo Adicional_g_der
50,50,210,5.396869587421351,6.498175712536003,1,0.6944439983933586,0.2758770008630764,10.34254617112282,0.5529664311231476,48.85855828702884,0.7014283414570348,21.17167945822296,1.1860044062251947,47.35544177032606,0.5229062335691658,30.894747108839873,28.762364178093605,0.4027167074108314,2.5826181682320746,26.787099952083757,17.697006670928012,4.932728361752905,1.2281062147085104,66.038,66.038,23.678,23.678,34.844,34.844,74.289,74.289,8.086,8.086,113.0,113.0,74.87,74.87,2.528,2.528,47.355,47.355,55.306,55.306
36,50,210,6.490090103791555,7.304648302060237,3,0.5642970972213236,0.22418647143146314,14.82200272077596,0.9133535367154056,35.284382171899665,0.6025149928870269,13.975567765174223,1.515029584150139,36.79397395171904,0.8502002459895277,36.68269191127592,38.91841930597648,0.33989285954891624,3.251793168958949,29.05476219407375,12.128583375777033,5.915397562445497,1.2476758106721493,45.884,45.884,18.397,18.397,22.179,22.179,49.964,49.964,4.987,4.987,113.0,113.0,63.849,63.849,2.362,2.362,36.794,36.794,53.29,53.29
50,50,280,5.676571573292148,7.3736720283900965,2,0.5581543627021863,0.2938592240122244,19.550471743031615,1.0216058669889176,30.014043436276125,0.3750927569193748,14.494015583515097,1.1106636602535123,33.90454944830616,0.6215473784136902,38.96116748978342,39.15148913355269,0.3048572576236824,3.424701861951915,25.633061913437587,11.913493669105263,5.7299317585951,1.2283928763088618,31.72,31.72,16.952,16.952,18.76,18.76,34.9,34.9,4.351,4.351,113.0,113.0,49.496,49.496,2.126,2.126,33.905,33.905,38.916,38.916
36,50,280,6.189826921654399,6.623768078206876,2,0.4674396318432113,0.3087334674030773,10.139388893926117,0.7656990690246297,45.400846013258985,0.6758390797312004,16.86152330326225,0.8869260915481856,49.50550906821678,0.8758812412438518,35.75253003628515,38.90932839942536,0.4920774261879563,3.1190687185518513,16.42712456741137,12.647225914455795,4.533647033091157,0.8321567143691617,56.862,56.862,24.753,24.753,30.104,30.104,64.313,64.313,15.215,15.215,113.0,113.0,134.06,134.06,2.589,2.589,49.506,49.506,53.788,53.788
50,50,210,6.940861584860497,5.951545070671373,2,0.6103790125409018,0.17661323478265759,15.431935490136546,0.9196505892011224,26.87035545233465,0.3265329934917613,13.767220451282512,1.1824679303000307,52.440947724936684,0.9969289483676875,36.617305351697155,31.173585644704396,0.6569903233863545,2.8158080355392627,19.892969277557313,14.395659046160262,5.382938450293165,0.9685845586206577,67.69,67.69,26.22,26.22,34.404,34.404,76.711,76.711,12.835,12.835,113.0,113.0,111.951,111.951,2.73,2.73,41.302,41.302,61.861,61.861
36,50,210,7.8719104725612645,7.741671895209755,3,0.4312789239364279,0.23997809956010532,15.32390978564619,0.9493491674348267,47.2240820674684,0.5335669835118966,19.589982013856208,1.5103853235933844,32.14808454243912,0.5918832345104961,32.184717309351896,27.349664930253056,0.3250695455378143,3.2140640931115882,19.519622039713425,14.714934000822755,4.683394985796284,1.103416619819721,47.868,47.868,16.074,16.074,18.475,18.475,50.838,50.838,5.311,5.311,113.0,113.0,95.645,95.645,2.854,2.854,32.148,32.148,57.313,57.313
50,50,210,5.5086672389281865,4.559500980746497,3,0.4314483569261114,0.3060912944484877,10.727513044026871,0.9399238738507922,30.27740138181101,0.3095655122949578,21.799697310202518,1.5090576813520207,43.4419880130343,0.7862557003122543,31.66663342972453,38.519613546173474,0.41036113464934626,2.3151869060388157,25.651264272651968,14.601112489945422,5.58223637973955,1.1567086826335693,78.879,78.879,21.721,21.721,39.657,39.657,87.492,87.492,10.374,10.374,113.0,113.0,109.441,109.441,2.995,2.995,43.442,43.442,73.183,73.183
36,36,210,7.9348409860387195,4.693875185709988,4,0.567393334763751,0.24441904869682263,19.713647874249368,1.162283032320477,30.464776072563307,0.31502081443058233,21.328758323906932,1.3585613817654811,39.24593591397251,0.9981928680970618,36.45472695370172,33.40692882723627,0.6140236101739938,2.7868537531388506,15.749959889941584,11.12324498991219,4.560137133537659,0.9026661500660426,56.469,56.469,19.623,19.623,26.926,26.926,61.753,61.753,11.566,11.566,113.0,113.0,140.385,140.385,2.902,2.902,39.246,39.246,70.812,70.812
36,36,210,6.307001007763171,5.1204426989166825,3,0.5993187733946085,0.15444290766950328,16.091787647925628,0.9227014200532929,33.59338191328482,0.622836761160195,14.392872762093083,1.4280495350073295,41.9096503084114,0.6222667418934839,30.098158250181903,32.90114749778896,0.3175170434148363,3.3323532762369554,24.27981074311154,13.195288754335277,4.040457258051563,0.9043013745876648,42.202,42.202,20.955,20.955,19.886,19.886,46.368,46.368,8.511,8.511,113.0,113.0,98.3,98.3,2.027,2.027,41.91,41.91,49.057,49.057
50,50,280,4.012079211651034,7.739020979680777,3,0.31171388355043683,0.23598944496080054,13.797963747427893,1.0264360936668806,26.31039125726042,0.38143590678945805,16.94443097246065,1.3245445026846219,47.39902463741544,0.8604038408614156,25.765157422563767,35.781583333711104,0.7387898299243826,3.304995871715227,29.725382841309205,11.184212142187233,5.006894579109511,1.1190216793952525,67.94,67.94,23.7,23.7,50.939,50.939,80.012,80.012,14.238,14.238,113.0,113.0,97.327,97.327,2.412,2.412,47.399,47.399,62.543,62.543
