max_rotation,max_moment,energy_dissipated,ductility,convergence,steps_completed,a,b,c,bf_rbs,reduction_ratio,rbs_length_ratio,Mp_full,Mp_rbs,strength_ratio
0.05000000000000001,16444.012718938033,4000.2538678640803,1.9607843137254901,True,141,0.25,0.020000000000000004,0.325,0.16,0.20000000000000004,0.325,879125.0000000002,743925.0000000002,0.8462107208872459
0.05000000000000001,20548.556283247995,4721.172833389769,1.9607843137254903,True,141,0.25,0.020000000000000004,0.4000000000000001,0.16,0.20000000000000004,0.4000000000000001,879125.0000000002,743925.0000000002,0.8462107208872459
0.05000000000000001,32799.88427572335,6708.409957986345,3.030303030303032,True,141,0.25,0.024000000000000004,0.325,0.152,0.24000000000000002,0.325,879125.0000000002,716885.0,0.8154528650646948
0.05000000000000002,20679.211216322044,4488.944596971215,1.9607843137254912,True,141,0.25,0.024000000000000004,0.4000000000000001,0.152,0.24000000000000002,0.4000000000000001,879125.0000000002,716885.0,0.8154528650646948
0.05000000000000002,7395.395809218337,1653.0732152419132,3.3333333333333344,True,141,0.25,0.028000000000000004,0.325,0.14400000000000002,0.28,0.325,879125.0000000002,689845.0,0.784695009242144
0.05000000000000002,8349.811914800743,1978.8792734536391,1.9607843137254908,True,141,0.25,0.028000000000000004,0.4150000000000001,0.14400000000000002,0.28,0.4150000000000001,879125.0000000002,689845.0,0.784695009242144
0.05000000000000001,100480.2534552697,23601.914766362184,3.333333333333334,True,141,0.25,0.03200000000000001,0.325,0.136,0.32000000000000006,0.325,879125.0000000002,662805.0000000001,0.7539371534195933
0.05000000000000002,74856.73083450286,18053.326880927816,3.3333333333333344,True,141,0.25,0.03200000000000001,0.4150000000000001,0.136,0.32000000000000006,0.4150000000000001,879125.0000000002,662805.0000000001,0.7539371534195933
0.05000000000000001,114779.05504431215,29718.329338629537,3.9215686274509807,True,141,0.25,0.036000000000000004,0.34,0.128,0.36000000000000004,0.34,879125.0000000002,635765.0,0.7231792975970424
0.05,97000.85625061949,26403.961195518652,3.9215686274509802,True,141,0.25,0.036000000000000004,0.4150000000000001,0.128,0.36000000000000004,0.4150000000000001,879125.0000000002,635765.0,0.7231792975970424
0.05000000000000002,1.0081666558833374e-06,1.0321591693668421e-07,42740624999.999985,True,141,0.25,0.04000000000000001,0.34,0.12,0.4000000000000001,0.34,879125.0000000002,608725.0,0.6924214417744915
0.05000000000000001,20691.559612675956,6339.827108980631,3.333333333333335,True,141,0.25,0.04000000000000001,0.425,0.12,0.4000000000000001,0.425,879125.0000000002,608725.0,0.6924214417744915
0.05,1.0512090537325616e-06,1.1596486753533357e-07,34790024999.99987,True,141,0.25,0.04400000000000001,0.34,0.11199999999999999,0.4400000000000001,0.34,879125.0000000002,581685.0,0.6616635859519406
0.04999999999999999,1.0142465394771715e-06,9.627299031729426e-08,34790025000.00012,True,141,0.25,0.04400000000000001,0.425,0.11199999999999999,0.4400000000000001,0.425,879125.0000000002,581685.0,0.6616635859519406
0.04999999999999999,1.059149069121299e-06,8.340829479047765e-08,27897824999.999805,True,141,0.25,0.04800000000000001,0.35500000000000004,0.104,0.48000000000000004,0.35500000000000004,879125.0000000002,554645.0,0.6309057301293899
0.05000000000000003,1.0357160505855213e-06,1.1152123235859267e-07,27897825000.000175,True,141,0.25,0.04800000000000001,0.425,0.104,0.48000000000000004,0.425,879125.0000000002,554645.0,0.6309057301293899
0.05000000000000002,1.0272958138449038e-06,1.0857101918178387e-07,21988424999.999966,True,141,0.25,0.052000000000000005,0.35500000000000004,0.096,0.52,0.35500000000000004,879125.0000000002,527605.0,0.600147874306839
0.050000000000000024,1.0937332505162468e-06,1.2879276776675776e-07,21988425000.000225,True,141,0.25,0.052000000000000005,0.45,0.096,0.52,0.45,879125.0000000002,527605.0,0.600147874306839
0.05000000000000002,1.0305079877419638e-06,1.0983531988245345e-07,16986224999.999804,True,141,0.25,0.05600000000000001,0.35500000000000004,0.088,0.56,0.35500000000000004,879125.0000000002,500564.99999999994,0.5693900184842882
0.05000000000000002,1.02009771976601e-06,9.505927729712201e-08,16986224999.99992,True,141,0.25,0.05600000000000001,0.45,0.088,0.56,0.45,879125.0000000002,500564.99999999994,0.5693900184842882
0.05000000000000002,1.1181766133484892e-06,1.3581715695448865e-07,12815624999.999979,True,141,0.25,0.06,0.37000000000000005,0.08000000000000002,0.6,0.37000000000000005,879125.0000000002,473525.0000000001,0.5386321626617375
0.05000000000000002,1.0376659964843992e-06,8.998818787989511e-08,12815624999.999876,True,141,0.25,0.06,0.45,0.08000000000000002,0.6,0.45,879125.0000000002,473525.0000000001,0.5386321626617375
0.05000000000000001,1859.4928756930428,142.1862909048518,1.4705882352941175,True,141,0.25,0.06999999999999999,0.37000000000000005,0.060000000000000026,0.6999999999999998,0.37000000000000005,879125.0000000002,405925.0000000001,0.4617375231053605
0.05000000000000002,11405.794323643142,1840.9917006208186,2.3809523809523814,True,141,0.25,0.06999999999999999,0.47500000000000003,0.060000000000000026,0.6999999999999998,0.47500000000000003,879125.0000000002,405925.0000000001,0.4617375231053605
0.05000000000000001,1287.6356784660675,75.46858100866795,1.1904761904761907,True,141,0.25,0.08,0.37000000000000005,0.04000000000000001,0.7999999999999999,0.37000000000000005,879125.0000000002,338325.0,0.38484288354898327
0.05,934.7975715488686,47.38613098904816,1.1904761904761905,True,141,0.25,0.08,0.47500000000000003,0.04000000000000001,0.7999999999999999,0.47500000000000003,879125.0000000002,338325.0,0.38484288354898327
